Portfolio,Date,slot,interval_cv,cv_share
A,2025-08-01,0,5.717058322303679,0.001140901680763057
A,2025-08-01,1,4.594855696364554,0.0009169538408231
A,2025-08-01,2,3.3478010678548618,0.0006680904146587231
A,2025-08-01,3,2.880101696768025,0.0005747558764254689
A,2025-08-01,4,2.156193067651156,0.0004302919711936052
A,2025-08-01,5,1.3772363592144674,0.00027484261808311065
A,2025-08-01,6,0.9408448011669432,0.00018775589725941792
A,2025-08-01,7,1.1991441846111204,0.00023930237170447421
A,2025-08-01,8,1.3476623527874398,0.00026894080079573735
A,2025-08-01,9,1.3358013848703953,0.0002665738145819987
A,2025-08-01,10,1.5017755284388077,0.0002996957749827994
A,2025-08-01,11,2.1053238277036357,0.0004201404565363472
A,2025-08-01,12,2.7986126874427177,0.0005584938510163076
A,2025-08-01,13,4.569706308757056,0.000911935004740981
A,2025-08-01,14,10.561940565019292,0.0021077510606703834
A,2025-08-01,15,20.09083652879198,0.004009346742923963
A,2025-08-01,16,49.142873742825635,0.009806999349995137
A,2025-08-01,17,87.9232310028106,0.017546044901778208
A,2025-08-01,18,128.3607561327272,0.025615796474301976
A,2025-08-01,19,163.53201791299887,0.03263460744621809
A,2025-08-01,20,187.46231702118425,0.03741016104992701
A,2025-08-01,21,218.5422854817657,0.043612509575287506
A,2025-08-01,22,234.0942254945338,0.04671606974546673
A,2025-08-01,23,244.18602955854865,0.04872999991190354
A,2025-08-01,24,251.83970495953739,0.050257374767419156
A,2025-08-01,25,252.76776492321778,0.050442579310161204
A,2025-08-01,26,253.26135793792557,0.050541081208925476
A,2025-08-01,27,255.7649399817386,0.0510406984597363
A,2025-08-01,28,257.7375926566999,0.051434362932887626
A,2025-08-01,29,264.08778811716604,0.052701614072473764
A,2025-08-01,30,261.65635023013095,0.05221639397927179
A,2025-08-01,31,262.01721757436604,0.052288409015040116
A,2025-08-01,32,255.58568835812173,0.05100492683259264
A,2025-08-01,33,238.94481367739735,0.047684057808301206
A,2025-08-01,34,210.9982161525513,0.042107007813320954
A,2025-08-01,35,186.19617868306585,0.03715748926024064
A,2025-08-01,36,163.53835323984012,0.03263587173016167
A,2025-08-01,37,137.84575115785188,0.02750863124283614
A,2025-08-01,38,95.78373359405741,0.01911469439115095
A,2025-08-01,39,70.38117255423666,0.014045334774343774
A,2025-08-01,40,54.70089734351196,0.010916163908104562
A,2025-08-01,41,44.117465790187566,0.008804124085050402
A,2025-08-01,42,32.84351008379735,0.0065542825950503595
A,2025-08-01,43,24.59201159607322,0.004907605586923412
A,2025-08-01,44,20.672083193967264,0.004125340888838009
A,2025-08-01,45,15.137181726242895,0.003020790605915565
A,2025-08-01,46,11.583544992513492,0.0023116234269633788
A,2025-08-01,47,9.178050748660064,0.0018315806722530561
A,2025-08-02,0,6.174353450306437,0.0018111919772092803
A,2025-08-02,1,4.776497428881768,0.0014011432762926865
A,2025-08-02,2,3.2371194907824243,0.0009495803727727851
A,2025-08-02,3,1.7633745553117375,0.0005172703301002457
A,2025-08-02,4,1.1885851857750989,0.00034866095211941883
A,2025-08-02,5,1.2795964824156139,0.00037535831106354174
A,2025-08-02,6,1.1966891899672751,0.0003510381900754694
A,2025-08-02,7,1.142889764825408,0.000335256604524907
A,2025-08-02,8,1.1487886609614504,0.0003369869935351864
A,2025-08-02,9,1.1595433321747242,0.0003401417812187516
A,2025-08-02,10,1.1172672686278409,0.00032774047187675005
A,2025-08-02,11,1.2128096522625813,0.000355766985116627
A,2025-08-02,12,1.6005270225454595,0.0004695004466252448
A,2025-08-02,13,2.769705520595699,0.0008124686185378994
A,2025-08-02,14,6.411533053200607,0.0018807665160459393
A,2025-08-02,15,12.921670507751129,0.003790457761147295
A,2025-08-02,16,31.57206890827375,0.009261387183418525
A,2025-08-02,17,54.164562005704376,0.01588869522021249
A,2025-08-02,18,75.70396152718472,0.02220708757030939
A,2025-08-02,19,94.00605897740661,0.027575845989265654
A,2025-08-02,20,116.00589224213343,0.03402930250575929
A,2025-08-02,21,142.66013992721088,0.04184809032772393
A,2025-08-02,22,159.61459044848445,0.04682152843898048
A,2025-08-02,23,165.94695292927864,0.04867907096781421
A,2025-08-02,24,177.62111216221177,0.05210358232977758
A,2025-08-02,25,185.78219303962277,0.05449756322664206
A,2025-08-02,26,185.44321257265625,0.054398126304680626
A,2025-08-02,27,181.5243934285668,0.05324857536772274
A,2025-08-02,28,177.33005967560558,0.05201820465696849
A,2025-08-02,29,176.8967813747671,0.051891106299433006
A,2025-08-02,30,173.0288313925977,0.0507564773812255
A,2025-08-02,31,170.96572996337153,0.05015128482351761
A,2025-08-02,32,169.9134565041736,0.04984260971081655
A,2025-08-02,33,157.55755833471972,0.046218116261284754
A,2025-08-02,34,141.55434515841097,0.04152371521220621
A,2025-08-02,35,123.16397232434024,0.03612906199012621
A,2025-08-02,36,109.94117928495865,0.032250272597523805
A,2025-08-02,37,94.82488565283842,0.027816041552607338
A,2025-08-02,38,71.21986896156363,0.020891718674556654
A,2025-08-02,39,55.80647348846433,0.01637033543222773
A,2025-08-02,40,44.58440690041538,0.013078441449227159
A,2025-08-02,41,35.912373804404154,0.010534577238018232
A,2025-08-02,42,27.308470209145646,0.008010698213301744
A,2025-08-02,43,20.32528924786699,0.0059622438392100295
A,2025-08-02,44,14.736531911093554,0.004322831302755516
A,2025-08-02,45,10.294327890867518,0.00301975004132224
A,2025-08-02,46,8.226393197710912,0.0024131396883868912
A,2025-08-02,47,6.262975987565187,0.001837188614715514
A,2025-08-03,0,2.7649033136316263,0.0018719724533728006
A,2025-08-03,1,2.7309816915963756,0.0018490058846285548
A,2025-08-03,2,2.413452936611849,0.001634023653765639
A,2025-08-03,3,1.9895503554545373,0.0013470212291499914
A,2025-08-03,4,1.2110058418590173,0.0008199091684895174
A,2025-08-03,5,0.8401004029414832,0.0005687883567647144
A,2025-08-03,6,1.1412010163165633,0.000772647946050483
A,2025-08-03,7,1.1019662264188623,0.0007460841072571851
A,2025-08-03,8,0.765074944628246,0.0005179925149818862
A,2025-08-03,9,0.844083000548593,0.0005714847667898396
A,2025-08-03,10,0.7496608994670664,0.0005075564654482507
A,2025-08-03,11,1.2676443445399628,0.000858256157440733
A,2025-08-03,12,1.8340712586576762,0.0012417544066741207
A,2025-08-03,13,2.016395353589376,0.0013651965833374247
A,2025-08-03,14,4.198410495616701,0.0028425257248589717
A,2025-08-03,15,6.58124295097337,0.004455817840875674
A,2025-08-03,16,11.60055737938682,0.007854134989429128
A,2025-08-03,17,15.126752652514003,0.010241538694999325
A,2025-08-03,18,18.9201650701207,0.012809861252620649
A,2025-08-03,19,22.580508409554486,0.01528808964763337
A,2025-08-03,20,26.53408279173895,0.017964849554325625
A,2025-08-03,21,36.05325289717317,0.024409785306142972
A,2025-08-03,22,36.476970881469164,0.02469666274980986
A,2025-08-03,23,40.973306886637204,0.027740898366037377
A,2025-08-03,24,54.75757730921169,0.03707351205769241
A,2025-08-03,25,65.39409532535348,0.04427494605643431
A,2025-08-03,26,79.62754006462528,0.05391167235248834
A,2025-08-03,27,84.16895176220284,0.05698642637928425
A,2025-08-03,28,87.59265436192688,0.05930443761809538
A,2025-08-03,29,88.59243406789686,0.05998133653886043
A,2025-08-03,30,87.6855507075278,0.059367332909632906
A,2025-08-03,31,89.23785465410594,0.06041831730135812
A,2025-08-03,32,88.03623358454294,0.05960476207484288
A,2025-08-03,33,83.4549463039984,0.05650301036154258
A,2025-08-03,34,73.29115598511197,0.04962163573805821
A,2025-08-03,35,65.18505293614109,0.04413341431018354
A,2025-08-03,36,50.47830375257846,0.03417623815340451
A,2025-08-03,37,41.79190212376681,0.028295126691785247
A,2025-08-03,38,33.1128842048448,0.022419014356699258
A,2025-08-03,39,29.17960457000095,0.01975599496953348
A,2025-08-03,40,28.707354778044262,0.019436259159136264
A,2025-08-03,41,24.94692134899871,0.016890264962084435
