Portfolio,Date,slot,interval_cct,interval_abandoned_calls,abd_share
A,2025-08-01,0,401.5234922760249,0.0,0.0
A,2025-08-01,1,348.9385780292484,0.0,0.0
A,2025-08-01,2,287.85426894581843,0.0,0.0
A,2025-08-01,3,254.73877353772673,0.0,0.0
A,2025-08-01,4,256.59044886012026,0.0,0.0
A,2025-08-01,5,234.70583045522494,0.0,0.0
A,2025-08-01,6,164.84496001841688,0.0,0.0
A,2025-08-01,7,112.01431930253571,0.0,0.0
A,2025-08-01,8,128.71249679195634,0.0,0.0
A,2025-08-01,9,283.44659944585385,0.0,0.0
A,2025-08-01,10,283.5774542650563,0.0005902207198384618,6.847966100607289e-06
A,2025-08-01,11,220.56400254420547,0.09777675269693466,0.001134443209786547
A,2025-08-01,12,226.4927080801839,2.1982809682845286,0.025505294959049723
A,2025-08-01,13,274.1116273282373,8.497295114514738,0.09858886164989045
A,2025-08-01,14,299.99401397707663,10.603130961151797,0.12302157301786995
A,2025-08-01,15,304.6110223204601,5.672351722817174,0.06581279003421744
A,2025-08-01,16,295.35170613854876,1.1628485189761226,0.013491812419376472
A,2025-08-01,17,302.5752146993083,0.049273302904883715,0.0005716876697414956
A,2025-08-01,18,312.68630120136584,0.0004632111978479067,5.3743531422487586e-06
A,2025-08-01,19,320.3777685097223,0.027628547349902437,0.00032055695319021914
A,2025-08-01,20,327.6240239755577,0.5899713947477802,0.006845073335728608
A,2025-08-01,21,330.01049840668725,1.6372161828440899,0.018995607139224983
A,2025-08-01,22,330.0920931928434,0.6627265694358566,0.007689206645796185
A,2025-08-01,23,328.1447237580106,1.5813879876903187,0.018347867107367497
A,2025-08-01,24,326.5065627155783,4.337966910422254,0.050330748056859255
A,2025-08-01,25,334.91947561190347,2.143562734250268,0.02487043311981394
A,2025-08-01,26,340.9242782251153,1.7097942913162145,0.019837686059462376
A,2025-08-01,27,338.33843486148953,0.6345098306403837,0.007361825270920066
A,2025-08-01,28,336.47907205217064,1.033423856819229,0.011990178082859907
A,2025-08-01,29,336.18271906068213,4.285371947057223,0.04972052121445869
A,2025-08-01,30,332.26840916752144,8.34950774494089,0.09687417617219896
A,2025-08-01,31,336.87708159482514,10.217584968784179,0.11854832123728005
A,2025-08-01,32,340.09578560831164,3.1802034530169787,0.03689793446298351
A,2025-08-01,33,341.67255095363095,0.1459530149160317,0.0016934025947106099
A,2025-08-01,34,338.89768300100707,0.0010534319176863684,1.2222319242856047e-05
A,2025-08-01,35,335.28578224636317,0.027628547349902437,0.00032055695319021914
A,2025-08-01,36,339.217679024132,0.5899713947477802,0.006845073335728608
A,2025-08-01,37,354.49338416701954,1.636773517304211,0.01899047116464953
A,2025-08-01,38,356.04141515339546,0.5899713947477802,0.006845073335728608
A,2025-08-01,39,342.94316808823885,0.027628547349902437,0.00032055695319021914
A,2025-08-01,40,335.7588467431529,0.00016810083792867582,1.950370091945114e-06
A,2025-08-01,41,326.9317610312152,0.0,0.0
A,2025-08-01,42,329.6705982238544,0.0005533319248485579,6.4199682193193335e-06
A,2025-08-01,43,319.29071920686084,0.09123907872001474,0.001058590620634775
A,2025-08-01,44,325.2079328846806,1.9904926241701604,0.023094455270151717
A,2025-08-01,45,344.9650698701354,6.423440387461353,0.07452720743969492
A,2025-08-01,46,314.4728143700139,4.815731126227644,0.05587395086887503
A,2025-08-01,47,252.16929655751116,1.1757283097453202,0.013641248668572399
A,2025-08-02,0,357.05901727547825,0.0,0.0
A,2025-08-02,1,364.327884308657,0.0,0.0
A,2025-08-02,2,359.5761806259047,0.0,0.0
A,2025-08-02,3,345.9045942453184,0.0,0.0
A,2025-08-02,4,227.4780661965647,0.0,0.0
A,2025-08-02,5,203.8671930081228,0.0,0.0
A,2025-08-02,6,249.92490144608124,0.0,0.0
A,2025-08-02,7,191.74832334420347,0.0,0.0
A,2025-08-02,8,166.3748686120797,0.0,0.0
A,2025-08-02,9,195.1425274171637,0.0,0.0
A,2025-08-02,10,223.85669895051365,0.0,0.0
A,2025-08-02,11,185.99726928640786,0.0,0.0
A,2025-08-02,12,234.09563260151032,0.0,0.0
A,2025-08-02,13,272.5358358757994,0.0,0.0
A,2025-08-02,14,257.43508791984374,0.0,0.0
A,2025-08-02,15,277.3934036276599,0.0,0.0
A,2025-08-02,16,265.48000836065734,0.0,0.0
A,2025-08-02,17,274.8854731666586,9.415566430088522e-05,1.958846197713712e-06
A,2025-08-02,18,275.47336727865087,0.015475141358321353,0.0003219500604016767
A,2025-08-02,19,275.1072650753679,0.3305937892005792,0.006877784695925454
A,2025-08-02,20,284.83385966890233,0.9404908433182955,0.01956628872089308
