Date,slot,Portfolio,dow,dom,is_peak,slot_sin,slot_cos,dow_sin,dow_cos,dom_sin,dom_cos,Call Volume,daily_cv,repaired_cv,slot_share,repair_case,observed_slot_count
2025-04-01,0,A,1,1,0,0.0,1.0,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,5.0,5249.0,5.0,0.0009525623928367308,A_daily_anchor,37
2025-04-01,1,A,1,1,0,0.13052619222005157,0.9914448613738104,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,5.0,5249.0,5.0,0.0009525623928367308,A_daily_anchor,37
2025-04-01,2,A,1,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,4.0,5249.0,4.0,0.0007620499142693847,A_daily_anchor,37
2025-04-01,3,A,1,1,0,0.3826834323650898,0.9238795325112867,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,3.0,5249.0,3.0,0.0005715374357020385,A_daily_anchor,37
2025-04-01,4,A,1,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,1.0,5249.0,1.0,0.00019051247856734617,A_daily_anchor,37
2025-04-01,5,A,1,1,0,0.6087614290087207,0.7933533402912352,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,4.0,5249.0,4.0,0.0007620499142693847,A_daily_anchor,37
2025-04-01,6,A,1,1,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,1.0,5249.0,1.0,0.00019051247856734617,A_daily_anchor,37
2025-04-01,7,A,1,1,0,0.7933533402912352,0.6087614290087207,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,4.0,5249.0,4.0,0.0007620499142693847,A_daily_anchor,37
2025-04-01,8,A,1,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,1.212728498592473,0.00023103991209610838,A_daily_anchor,37
2025-04-01,9,A,1,1,0,0.9238795325112867,0.38268343236508984,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,1.4199426202348522,0.0002705167880043536,A_daily_anchor,37
2025-04-01,10,A,1,1,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,1.933639809516752,0.00036838251276752755,A_daily_anchor,37
2025-04-01,11,A,1,1,0,0.9914448613738104,0.1305261922200517,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,2.4362448555722267,0.00046413504583201116,A_daily_anchor,37
2025-04-01,12,A,1,1,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,2.703690663556159,0.0005150868095934767,A_daily_anchor,37
2025-04-01,13,A,1,1,0,0.9914448613738104,-0.1305261922200516,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,4.635780006688485,0.0008831739391671718,A_daily_anchor,37
2025-04-01,14,A,1,1,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,8.847299475485134,0.0016855209517022544,A_daily_anchor,37
2025-04-01,15,A,1,1,0,0.9238795325112868,-0.3826834323650895,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,19.60032526235721,0.0037341065464578413,A_daily_anchor,37
2025-04-01,16,A,1,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,45.44545091770486,0.008657925493942628,A_daily_anchor,37
2025-04-01,17,A,1,1,0,0.7933533402912352,-0.6087614290087207,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,78.45103182085016,0.014945900518355908,A_daily_anchor,37
2025-04-01,18,A,1,1,1,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,,5249.0,115.31386606944167,0.02196873043807233,A_daily_anchor,37
2025-04-01,19,A,1,1,1,0.6087614290087209,-0.793353340291235,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,173.0,5249.0,173.0,0.03295865879215089,A_daily_anchor,37
2025-04-01,20,A,1,1,1,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,197.0,5249.0,197.0,0.037530958277767194,A_daily_anchor,37
