Date,Call Volume,CCT,Service Level,Abandon Rate,client,day_of_week,month,day_of_month,week_of_year,quarter,is_weekend,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmean_30,Call Volume_rollstd_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,volume_x_abandon,trend
2024-01-01,2147.0,302.45,0.9855,0.0037,A,0,1,1,1,1,0,,,,,,,,,,,,,,,,0.0,0.0,2115.8685,7.9439,0
2024-01-02,7458.0,349.22,0.5213,0.1136,A,1,1,2,1,1,0,2147.0,,,,,,,,,,,,,,,0.0,0.0,3887.8554,847.2288000000001,1
2024-01-03,6882.0,331.07,0.7046,0.0432,A,2,1,3,1,1,0,7458.0,2147.0,,,,,,,,,,,,,,0.0,0.0,4849.0572,297.30240000000003,2
2024-01-04,6208.0,341.8,0.72,0.0403,A,3,1,4,1,1,0,6882.0,7458.0,,,,,5495.666666666667,2914.295855491225,,,,,,,,0.0,0.0,4469.76,250.18240000000003,3
2024-01-05,6190.0,334.56,0.8063,0.0291,A,4,1,5,1,1,0,6208.0,6882.0,,,,,6849.333333333333,625.6399390490757,,,,,,,,0.0,0.0,4990.997,180.12900000000002,4
2024-01-06,3529.0,323.18,0.9673,0.0034,A,5,1,6,1,1,1,6190.0,6208.0,,,,,6426.666666666667,394.4329262794006,,,,,,,,0.0,0.0,3413.6017,11.9986,5
2024-01-07,1611.0,269.32,0.9707,0.0056,A,6,1,7,1,1,1,3529.0,6190.0,,,,,5309.0,1541.5514911932062,,,,,,,,0.0,0.0,1563.7977,9.0216,6
2024-01-08,6688.0,343.75,0.8036,0.0173,A,0,1,8,2,1,0,1611.0,3529.0,2147.0,,,,3776.6666666666665,2299.5248059834735,4860.714285714285,2384.394382527473,,,,,4541.0,2.1150442477876106,0.4905440316735434,5374.4767999999995,115.7024,7
2024-01-09,5126.0,334.94,0.9122,0.009,A,1,1,9,2,1,0,6688.0,1611.0,7458.0,,,,3942.6666666666665,2563.654097832493,5509.428571428572,2126.8496152089087,,,,,-2332.0,-0.31268436578171094,0.3860381503516663,4675.9372,46.13399999999999,8
2024-01-10,5793.0,340.56,0.8879,0.0097,A,2,1,10,2,1,0,5126.0,6688.0,6882.0,,,,4475.0,2600.352476107806,5176.285714285715,1945.6846879085786,,,,,-1089.0,-0.15823888404533565,0.3758843300590619,5143.6047,56.1921,9
2024-01-11,5408.0,324.22,0.9274,0.0089,A,3,1,11,2,1,0,5793.0,5126.0,6208.0,,,,5869.0,783.7684607076245,5020.714285714285,1826.4533678038165,,,,,-800.0,-0.12886597938144329,0.3637835701985124,5015.3792,48.1312,10
2024-01-12,4902.0,333.5,0.963,0.0065,A,4,1,12,2,1,0,5408.0,5793.0,6190.0,,,,5442.333333333333,334.8228387271878,4906.428571428572,1763.7321090179626,,,,,-1288.0,-0.20807754442649434,0.35947371562456654,4720.626,31.863,11
2024-01-13,3337.0,316.16,0.9426,0.0087,A,5,1,13,2,1,1,4902.0,5408.0,3529.0,,,,5367.666666666667,446.86724352242754,4722.428571428572,1672.3226220980657,,,,,-192.0,-0.054406347407197506,0.3541234339076885,3145.4562,29.031899999999997,12
2024-01-14,1370.0,274.25,0.9713,0.0066,A,6,1,14,2,1,1,3337.0,4902.0,1611.0,,,,4549.0,1079.6837499934873,4695.0,1696.557887803026,,,,,-241.0,-0.14959652389819988,0.36135418270564984,1330.681,9.042,13
